program_id,source,source_service,title,category,district,venue,address,lat,lng,age_min,age_max,age_label,target_text,date_start,date_end,time_text,fee,fee_type,indoor_outdoor,reservation_status_raw,reservation_status_norm,availability_group,available_now,is_full_or_closed,date_match_level,source_url,detail_url,rule_summary,cancel_rule,no_show_rule,family_fit,preparation_note,data_confidence,availability_confidence,recommendation_reason,caution_note,last_api_update,id,week,status,status_label,reservation_required
SAMPLE-0011,구립도서관,sample_fallback,토요 인형극 극장,공연,은평구,은평구 어린이도서관,서울특별시 은평구 샘플로 110,37.601590825818725,126.92501442273358,7,9,7-9세,7-9세 어린이 및 보호자,2026-05-08,2026-05-08,14:00-16:00,3000,저비용,실외,접수마감,full,예약 마감,False,True,미계산,https://data.seoul.go.kr/,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0011,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0011,19,예약 마감,예약 마감,False
SAMPLE-0012,서울형 키즈카페,sample_fallback,가족 곤충 관찰교실,자연,강서구,강서구 아이맘센터,서울특별시 강서구 샘플로 111,37.55823524803204,126.84857282310759,5,8,5-8세,5-8세 어린이 및 보호자,2026-05-09,2026-05-09,오전,0,무료,혼합,확인 필요,unknown,확인 필요,False,False,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0012,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0012,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0012,19,확인 필요,확인 필요,True
SAMPLE-0013,공공서비스예약,sample_fallback,어린이 과학 실험실,과학,마포구,마포구 공공서비스센터,서울특별시 마포구 샘플로 112,37.56373003306702,126.89978719869707,6,9,6-9세,6-9세 어린이 및 보호자,2026-05-02,2026-05-02,오후,0,무료,실내,접수중,available,지금 신청 가능,True,False,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0013,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0013,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0013,18,지금 신청 가능,지금 신청 가능,True
SAMPLE-0014,구립도서관,sample_fallback,어린이 그림책 미술관,미술,서대문구,서대문구 어린이도서관,서울특별시 서대문구 샘플로 113,37.58229385511331,126.93899266438619,7,9,7-9세,7-9세 어린이 및 보호자,2026-05-03,2026-05-03,상시,3000,저비용,실외,예약가능,available,지금 신청 가능,True,False,미계산,https://data.seoul.go.kr/,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0014,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0014,18,지금 신청 가능,지금 신청 가능,False
SAMPLE-0015,서울형 키즈카페,sample_fallback,어린이 작가와의 만남,독서,용산구,용산구 아이맘센터,서울특별시 용산구 샘플로 114,37.53507639566958,126.99308492601804,5,8,5-8세,5-8세 어린이 및 보호자,2026-05-01,2026-05-01,10:00-11:30,0,무료,혼합,상시이용,always_available,상시/현장 가능,True,False,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0015,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0015,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0015,18,상시/현장 가능,상시/현장 가능,True
SAMPLE-0016,공공서비스예약,sample_fallback,움직임 놀이교실,놀이,영등포구,영등포구 공공서비스센터,서울특별시 영등포구 샘플로 115,37.53924988560522,126.89376150990168,6,9,6-9세,6-9세 어린이 및 보호자,2026-05-05,2026-05-05,10:00-12:00,0,무료,실내,마감임박,closing_soon,마감 임박,True,False,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0016,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0016,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0016,19,마감 임박,마감 임박,True
SAMPLE-0017,구립도서관,sample_fallback,가족 공연 체험,공연,은평구,은평구 어린이도서관,서울특별시 은평구 샘플로 116,37.59962654362557,126.92421736363052,7,9,7-9세,7-9세 어린이 및 보호자,2026-05-08,2026-05-08,13:00-15:00,3000,저비용,실외,접수마감,full,예약 마감,False,True,미계산,https://data.seoul.go.kr/,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0017,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0017,19,예약 마감,예약 마감,False
SAMPLE-0018,서울형 키즈카페,sample_fallback,어린이 생태 관찰 교실,자연,강서구,강서구 아이맘센터,서울특별시 강서구 샘플로 117,37.55459587653545,126.85627383375633,5,8,5-8세,5-8세 어린이 및 보호자,2026-05-09,2026-05-09,14:00-16:00,0,무료,혼합,확인 필요,unknown,확인 필요,False,False,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0018,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0018,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0018,19,확인 필요,확인 필요,True
SAMPLE-0019,구립도서관,sample_fallback,어린이 박물관 탐험,역사,영등포구,영등포구 어린이도서관,서울특별시 영등포구 샘플로 118,37.52571631525407,126.89115906113821,8,12,8-12세,8-12세 어린이 및 보호자,2026-05-06,2026-05-08,오전,3000,저비용,실내,상시이용,always_available,상시/현장 가능,True,False,미계산,https://data.seoul.go.kr/,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0019,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0019,19,상시/현장 가능,상시/현장 가능,False
SAMPLE-0020,박물관·미술관,sample_fallback,공원 자연탐험 시간,자연,동작구,동작구 어린이박물관,서울특별시 동작구 샘플로 119,37.50745311270585,126.94320355672696,10,12,10-12세,10-12세 어린이 및 보호자,2026-05-08,2026-05-08,오후,12000,유료,실외,마감임박,closing_soon,마감 임박,True,False,미계산,https://data.seoul.go.kr/,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0020,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0020,19,마감 임박,마감 임박,False
SAMPLE-0021,공공서비스예약,sample_fallback,토요 인형극 극장,공연,관악구,관악구 공공서비스센터,서울특별시 관악구 샘플로 120,37.48285952502722,126.95485892560983,4,12,4-12세,4-12세 어린이 및 보호자,2026-05-10,2026-05-10,상시,0,무료,혼합,접수예정,soon_open,접수 예정,False,False,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0021,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0021,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0021,19,접수 예정,접수 예정,True
SAMPLE-0022,서울문화포털,sample_fallback,서울형 키즈카페 놀이시간,놀이,서초구,서초구 생활문화센터,서울특별시 서초구 샘플로 121,37.47970694175627,127.0337929679384,4,6,4-6세,4-6세 어린이 및 보호자,2026-04-26,2026-04-26,10:00-11:30,0,무료,실내,접수마감,full,예약 마감,False,True,미계산,https://data.seoul.go.kr/,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0022,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0022,17,예약 마감,예약 마감,False
SAMPLE-0023,서울형 키즈카페,sample_fallback,가족 클라이밍 체험,체육,강남구,강남구 서울형 키즈카페,서울특별시 강남구 샘플로 122,37.51790011485485,127.04861213158038,5,7,5-7세,5-7세 어린이 및 보호자,2026-05-13,2026-05-13,10:00-12:00,0,무료,실외,예약마감,full,예약 마감,False,True,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0023,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0023,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0023,20,예약 마감,예약 마감,True
SAMPLE-0024,구립도서관,sample_fallback,가족 책놀이 시간,독서,송파구,송파구 어린이도서관,서울특별시 송파구 샘플로 123,37.51972857266769,127.10724157329265,6,9,6-9세,6-9세 어린이 및 보호자,2026-05-20,2026-05-20,13:00-15:00,3000,저비용,혼합,확인 필요,unknown,확인 필요,False,False,미계산,https://data.seoul.go.kr/,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0024,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0024,21,확인 필요,확인 필요,False
SAMPLE-0025,박물관·미술관,sample_fallback,로봇과 코딩 체험,과학,강동구,강동구 어린이박물관,서울특별시 강동구 샘플로 124,37.53417348137843,127.12420547441694,7,9,7-9세,7-9세 어린이 및 보호자,2026-05-26,2026-05-27,14:00-16:00,12000,유료,실내,접수중,available,지금 신청 가능,True,False,미계산,https://data.seoul.go.kr/,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0025,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0025,22,지금 신청 가능,지금 신청 가능,False
SAMPLE-0026,공공서비스예약,sample_fallback,창의 만들기 체험,미술,종로구,종로구 청소년문화의집,서울특별시 종로구 샘플로 125,37.575234716392146,126.98268772935502,8,12,8-12세,8-12세 어린이 및 보호자,2026-06-03,2026-06-03,오전,0,무료,실외,예약가능,available,지금 신청 가능,True,False,미계산,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0026,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0026,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0026,23,지금 신청 가능,지금 신청 가능,True
SAMPLE-0027,서울문화포털,sample_fallback,어린이 박물관 탐험,역사,중구,중구 문화예술회관,서울특별시 중구 샘플로 126,37.55505706508087,126.99568197270186,10,12,10-12세,10-12세 어린이 및 보호자,2026-06-17,2026-06-17,오후,0,무료,혼합,상시이용,always_available,상시/현장 가능,True,False,미계산,https://data.seoul.go.kr/,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=SAMPLE-0027,"보호자 동반 권장, 회차별 정원과 세부 규정은 공식 링크에서 확인",취소 가능 기한은 프로그램별로 다르므로 공식 링크 확인 필요,미참여 시 향후 신청 제한 가능성이 있으므로 공식 규정 확인 필요,보호자 동반 권장,"물, 간식, 활동하기 편한 복장 권장",샘플,샘플,필터 적용 후 자동 생성,샘플 데이터입니다. 실제 예약 가능 여부는 공식 출처에서 확인해야 합니다.,2026-05-01T14:22:57,SAMPLE-0027,25,상시/현장 가능,상시/현장 가능,False
